priority_rank,content_hash_id,decline_probability,reason_codes,recommended_action
91,content_b9fc2a97ed8b543c,0.8497221127630338,High query concentration (single-query dependency); Weak average position,Diversify topic coverage to reduce single-query dependency
92,content_6bb5b6378e3d0608,0.8495202113613124,Weak average position; High query concentration (single-query dependency),Refresh content + rebuild internal links to lift ranking
93,content_51aec94adf036a78,0.8494659777979844,Weak average position; High query concentration (single-query dependency),Refresh content + rebuild internal links to lift ranking
94,content_9bde8c7338299f75,0.8494243146455904,High query concentration (single-query dependency); Under-clicking relative to peers,Diversify topic coverage to reduce single-query dependency
95,content_541355f1b189b2be,0.8491768595809944,Weak average position; Under-clicking relative to peers,Refresh content + rebuild internal links to lift ranking
96,content_0d07c57f565e5bf0,0.8490971320169721,High query concentration (single-query dependency); Under-clicking relative to peers,Diversify topic coverage to reduce single-query dependency
97,content_60484220cb981a68,0.8488916691783037,Weak average position; High query concentration (single-query dependency),Refresh content + rebuild internal links to lift ranking
98,content_e5d76ab0bcc82522,0.8474661977292776,Weak average position; Low query breadth (over-reliant on few queries),Refresh content + rebuild internal links to lift ranking
99,content_bfd87ab3a0abf632,0.8470330312361027,Weak average position; High query concentration (single-query dependency),Refresh content + rebuild internal links to lift ranking
100,content_2600085e460265e7,0.8469498872340757,High query concentration (single-query dependency); Under-clicking relative to peers,Diversify topic coverage to reduce single-query dependency
101,content_b36b207918cb0140,0.8463474349570704,Weak average position; High query concentration (single-query dependency),Refresh content + rebuild internal links to lift ranking
102,content_a52d38549ed8a6ac,0.846223123603712,Weak average position; High query concentration (single-query dependency),Refresh content + rebuild internal links to lift ranking
103,content_f2fedb0ab4bca5f0,0.8461704064242791,Weak average position; Under-clicking relative to peers,Refresh content + rebuild internal links to lift ranking
104,content_861b8469057a9def,0.846143862789555,Weak average position; Under-clicking relative to peers,Refresh content + rebuild internal links to lift ranking
105,content_e8876574c86f0a21,0.8460707645747972,Under-clicking relative to peers; High query concentration (single-query dependency),Rewrite title/meta description to improve click-through
106,content_9a639e79a1f1c06f,0.8459978778118451,High query concentration (single-query dependency); Under-clicking relative to peers,Diversify topic coverage to reduce single-query dependency
107,content_0ece7e7de8b3ea9b,0.8454112016952956,Weak average position; High query concentration (single-query dependency),Refresh content + rebuild internal links to lift ranking
108,content_309d7af237b2d9f2,0.8440659530679485,Weak average position; High query concentration (single-query dependency),Refresh content + rebuild internal links to lift ranking
109,content_2dc954b9ae28df53,0.8436780935528541,Weak average position; Under-clicking relative to peers,Refresh content + rebuild internal links to lift ranking
110,content_a131a7a579bd3351,0.8432380891501243,Weak average position; High query concentration (single-query dependency),Refresh content + rebuild internal links to lift ranking
111,content_e69ae6eee5dec588,0.8429521556008504,High query concentration (single-query dependency); Weak average position,Diversify topic coverage to reduce single-query dependency
112,content_8231b7d29b75eb47,0.8427042592927346,High query concentration (single-query dependency); Under-clicking relative to peers,Diversify topic coverage to reduce single-query dependency
113,content_7a253ee1a07e739b,0.8426963756314507,High query concentration (single-query dependency); Weak average position,Diversify topic coverage to reduce single-query dependency
114,content_c87c338165490f3f,0.8426468055335881,Weak average position; Low query breadth (over-reliant on few queries),Refresh content + rebuild internal links to lift ranking
115,content_9890b3b667e4dba0,0.842308355447911,Weak average position; High query concentration (single-query dependency),Refresh content + rebuild internal links to lift ranking
116,content_d508f4380e1ea732,0.8423051137784578,Weak average position; High query concentration (single-query dependency),Refresh content + rebuild internal links to lift ranking
117,content_69157e97ef31fdcb,0.8420385112710042,High query concentration (single-query dependency); Under-clicking relative to peers,Diversify topic coverage to reduce single-query dependency
118,content_98ba71d1f9ca86a3,0.8417672245685293,High query concentration (single-query dependency); Low query breadth (over-reliant on few queries),Diversify topic coverage to reduce single-query dependency
119,content_55aedfa0c67e365c,0.8411671818950323,Weak average position; High query concentration (single-query dependency),Refresh content + rebuild internal links to lift ranking
120,content_547c48a6eddfcb9d,0.8411597992931288,High query concentration (single-query dependency); Under-clicking relative to peers,Diversify topic coverage to reduce single-query dependency
121,content_13c48a11a1a5125e,0.8407454896202363,Weak average position; High query concentration (single-query dependency),Refresh content + rebuild internal links to lift ranking
122,content_60dc8105828076c6,0.8407308675117129,High query concentration (single-query dependency); Low query breadth (over-reliant on few queries),Diversify topic coverage to reduce single-query dependency
